school_id,display_name,mascot_name,color1,color1_name,color2,color2_name,color3,color3_name,mascot_file_name
45,Manchester Regional,Falcons,#CC0022,Scarlet Red,#FFFFFF,White,#000000,Black,Falcon 2.svg
250,Manchester Township,Hawks,#034CB2,Royal Blue,#C8880A,Gold,#FFFFFF,White,Hawk 2.svg
171,Manville,Mustangs,#0A1A79,Navy,#F3A707,Gold,#FFFFFF,White,Horse 2.svg
272,Maple Shade,Wildcats,#014488,Blue,#FCAE04,Gold,#FFFFFF,White,Wildcat.svg
193,Marlboro,Mustangs,#034CB2,Royal Blue,#C8880A,Gold,#FFFFFF,White,Horse.svg
381,Mary Help of Christians Academy,Blue Jays,#034CB2,Royal Blue,#FFFFFF,White,#000000,Black,Bluejay.svg
382,Matawan,Huskies,#580615,Maroon,#818181,Gray,#FFFFFF,White,Huskie.svg
89,Mendham,Minutemen,#AD0B0E,Maroon,#023051,Navy,#FFFFFF,White,Minuteman.svg
180,Metuchen,Bulldogs,#4169E1,Royal Blue,#FFFFFF,White,#000000,Black,Bulldog 1.svg
283,Middle Township,Panthers,#222222,Black,#CC4E10,Orange,#FFFFFF,White,Panther_2.svg
383,Middlesex,Blue Jays,#0605B3,Blue,#FFFFFF,White,#000000,Black,Bluejay.svg
159,Middletown North,Lions,#FC7701,Orange,#000000,Black,#FFFFFF,White,Lion_3.svg
160,Middletown South,Eagles,#034CB2,Royal Blue,#737272,Gray,#FFFFFF,White,Eagle.svg
133,Millburn,Millers,#034CB2,Royal Blue,#FFFFFF,White,#000000,Black,Miller.svg
292,Millville,Thunderbolts,#034CB2,Royal Blue,#CC4E10,Orange,#FFFFFF,White,Horse 4.svg
384,Monmouth,Falcons,#222222,Black,#C8880A,Gold,#FFFFFF,White,Raven 2.svg
172,Monroe,Falcons,#754ACC,Purple,#C8880A,Gold,#FFFFFF,White,Falcon.svg
105,Montclair,Mounties,#034CB2,Royal Blue,#FFFFFF,White,#000000,Black,Mountie.svg
173,Montgomery,Cougars,#00824B,Kelly Green,#C8880A,Gold,#FFFFFF,White,Cougar 2.svg
75,Montville,Mustangs,#00824B,Kelly Green,#FFFFFF,White,#000000,Black,Horse 3.svg
261,Moorestown,Quakers,#034CB2,Royal Blue,#FFFFFF,White,#000000,Black,Quaker.svg
76,Morris Hills,Scarlet Knights,#CC0022,Scarlet Red,#FFFFFF,White,#000000,Black,Knight_2.svg
385,Morris Hills-Morris Knolls,Eagle Knights,#CC0022,Scarlet Red,#FFD700,Gold,#FFFFFF,White,Eagle knight.svg
77,Morris Knolls,Golden Eagles,#006400,Dark Green,#FFD700,Gold,#FFFFFF,White,Eagle.svg
114,Morristown,Colonials,#8F0018,Maroon,#FFFFFF,White,#000000,Black,Patriot 4.svg
63,Mountain Lakes,Lakers,#0000FF,Blue,#FFA500,Orange,#FFFFFF,White,Laker.svg
56,Mt. Olive,Marauders,#CC0022,Scarlet Red,#FFD700,Gold,#FFFFFF,White,Marauder.svg
221,Neptune,Scarlet Fliers,#D90000,Red,#000000,Black,#FFFFFF,White,Flier.svg
181,New Brunswick,Zebras,#034CB2,Royal Blue,#FFFFFF,White,#000000,Black,Zebra.svg
205,New Egypt,Warriors,#222245,Navy,#DBB235,Gold,#FFFFFF,White,Spartan 5.svg
34,New Milford,Knights,#00824B,Kelly Green,#FFFFFF,White,#000000,Black,Knight_2.svg
134,New Providence,Pioneers,#006325,Green,#FFDD00,Yellow,#FFFFFF,White,Mountaineer_2.svg
115,Newark Academy,Minutemen,#003087,Navy,#FFFFFF,White,#000000,Black,Patriot_2.svg
85,Newark Collegiate,Knights,#034CB2,Royal Blue,#C8880A,Gold,#FFFFFF,White,Knight_2.svg
122,Newark East Side,Raiders,#BA1B26,Crimson,#1F1C1E,Black,#FFFFFF,White,Indian_5.svg
24,Newton,Braves,#CC0022,Scarlet Red,#FFFFFF,White,#000000,Black,Indian_3.svg
95,North Bergen,Bruins,#CC0022,Scarlet Red,#C8880A,Gold,#FFFFFF,White,Bear 4.svg
162,North Brunswick,Raiders,#034CB2,Royal Blue,#C8880A,Gold,#FFFFFF,White,Eagle 1.svg
135,North Hunterdon,Lions,#00824B,Kelly Green,#C8880A,Gold,#FFFFFF,White,Lion.svg
143,North Plainfield,Canucks,#8F0018,Maroon,#FFFFFF,White,#000000,Black,Canuck.svg
116,North Star Academy,Stars,#003087,Navy,#FFD700,Gold,#FFFFFF,White,Star.svg
25,North Warren,Patriots,#034CB2,Royal Blue,#CC0022,Scarlet Red,#FFFFFF,White,Patriot.svg
388,Northern Burlington,Greyhounds,#034CB2,Royal Blue,#454444,Gray,#FFFFFF,White,Greyhound.svg
35,Northern Highlands,Highlanders,#CC0022,Scarlet Red,#222222,Black,#FFFFFF,White,Tartan_2.svg
213,Notre Dame,Irish,#4169E1,Royal Blue,#000080,Navy,#FFFFFF,White,Fighting Irish.svg
209,Nottingham,Patriots,#222222,Black,#C8880A,Gold,#FFFFFF,White,Patriot 4.svg
106,Nutley,Raiders,#8F0018,Maroon,#454444,Gray,#FFFFFF,White,Patriot.svg
284,Oakcrest,Falcons,#034CB2,Royal Blue,#454444,Gray,#FFFFFF,White,Falcon.svg
285,Ocean City,Raiders,#CC0022,Scarlet Red,#FFFFFF,White,#000000,Black,Hawk.svg
222,Ocean Township,Spartans,#034CB2,Royal Blue,#CC0022,Scarlet Red,#FFFFFF,White,Spartan 1.svg
163,Old Bridge,Knights,#754ACC,Purple,#222222,Black,#FFFFFF,White,Knight.svg
6,Old Tappan,Golden Knights,#034CB2,Royal Blue,#C8880A,Gold,#FFFFFF,White,Knight_3.svg
86,Orange,Tornadoes,#CC4E10,Orange,#222222,Black,#FFFFFF,White,Tornado.svg
299,Overbrook,Rams,#034CB2,Royal Blue,#CC4E10,Orange,#FFFFFF,White,Ram_3.svg
262,Palmyra,Panthers,#CC0022,Scarlet Red,#FFFFFF,White,#000000,Black,Panther.svg
57,Paramus,Spartans,#034CB2,Royal Blue,#FFFFFF,White,#000000,Black,Spartan 2.svg
153,Paramus Catholic,Paladins,#000000,Black,#C5B358,Gold,#FFFFFF,White,Spartan.svg
64,Parsippany,Red Hawks,#CC0022,Scarlet Red,#454444,Gray,#FFFFFF,White,Hawk 1.svg
78,Parsippany Hills,Vikings,#034CB2,Royal Blue,#000000,Black,#FFFFFF,White,Viking 2.svg
15,Pascack Hills,Broncos,#503604,Dark Brown,#FFFFFF,White,#000000,Black,Horse 2.svg
16,Pascack Valley,Panthers,#00824B,Kelly Green,#FFFFFF,White,#000000,Black,Panther_3.svg
58,Passaic,Indians,#CC0022,Scarlet Red,#034CB2,Royal Blue,#FFFFFF,White,Indian.svg
391,Passaic Tech,Bulldogs,#034CB2,Royal Blue,#FFFFFF,White,#000000,Black,Bulldog.svg
46,Passaic Valley,Hornets,#00824B,Kelly Green,#FFFFFF,White,#000000,Black,Hornet 2.svg
72,Paterson Eastside,Ghosts,#034CB2,Royal Blue,#CC4E10,Orange,#FFFFFF,White,Ghost.svg
241,Paul VI,Eagles,#034CB2,Royal Blue,#FFFFFF,White,#000000,Black,Eagle 1.svg
309,Paulsboro,Raiders,#CC0022,Scarlet Red,#FFFFFF,White,#000000,Black,Indian 1.svg
273,Pemberton,Hornets,#00824B,Kelly Green,#FFFFFF,White,#000000,Black,Hornet 3.svg
310,Penns Grove,Red Devils,#CC0022,Scarlet Red,#FFFFFF,White,#000000,Black,Devil 2.svg
242,Pennsauken,Indians,#CC0022,Scarlet Red,#FFFFFF,White,#000000,Black,Indian_3.svg
293,Pennsville,Eagles,#006400,Dark Green,#C8880A,Gold,#FFFFFF,White,Eagle.svg
36,Pequannock,Golden Panthers,#034CB2,Royal Blue,#C8880A,Gold,#FFFFFF,White,Panther_2.svg
182,Perth Amboy,Panthers,#CC0022,Scarlet Red,#FFFFFF,White,#000000,Black,Panther_3.svg
7,Phillipsburg,Stateliners,#52000E,Burgundy,#454444,Gray,#FFFFFF,White,Stateliner.svg
251,Pinelands Regional,Wildcats,#00824B,Kelly Green,#C8880A,Gold,#FFFFFF,White,Wildcat.svg
144,Pingry,Big Blue,#034CB2,Royal Blue,#FFFFFF,White,#000000,Black,Bear 4.svg
79,Pioneer Academy,Eagles,#1a1a2e,Navy,#FFD700,Gold,#FFFFFF,White,Eagle.svg
183,Piscataway,Chiefs,#222222,Black,#C8880A,Gold,#FFFFFF,White,Indian_3.svg
311,Pitman,Panthers,#CC4E10,Orange,#222222,Black,#FFFFFF,White,Panther_2.svg
154,Plainfield,Cardinals,#034CB2,Royal Blue,#CC0022,Scarlet Red,#FFFFFF,White,Cardinal 2.svg
223,Point Pleasant Beach,Garnet Gulls,#AC1E2C,Crimson,#FFFFFF,White,#000000,Black,Gull.svg
224,Point Pleasant Boro,Panthers,#000000,Black,#FFD700,Gold,#FFFFFF,White,Panther.svg
37,Pompton Lakes,Cardinals,#CC0022,Scarlet Red,#FFFFFF,White,#000000,Black,Cardinal 2.svg
